Generator,Date,Hour,Horizon [hr],Thermal Power Generated [MW],On/off [bin],Start Up [bin],Shut Down [bin],Production Cost [$],Start-up Cost [$],Total Cost [$],Mileage [MW],Scenario,Market
10_STEAM,2020-07-10,13,1,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,2,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,3,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,4,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,5,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,6,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,7,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,8,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,9,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,10,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,11,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,12,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,13,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,14,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,15,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,16,30.0,1,0,0,905.0,0.0,905.0,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,17,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,18,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,19,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,20,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,21,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,22,30.0,1,0,0,905.0,0.0,905.0,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,23,30.0,1,0,0,905.0,0.0,905.0,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,24,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,25,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,26,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,27,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,28,30.0,1,0,0,905.0,0.0,905.0,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,29,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,30,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,31,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,32,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,33,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,34,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,35,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,36,76.0,1,0,0,1669.71,0.0,1669.71,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,37,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,38,30.0,1,0,0,905.0,0.0,905.0,0.0,4,Day-ahead
10_STEAM,2020-07-10,13,39,76.0,1,0,0,1669.71,0.0,1669.71,46.0,4,Day-ahead
10_STEAM,2020-07-10,13,40,30.0,1,0,0,905.0,0.0,905.0,46.0,4,Day-ahead
