Date,Hour,Minute,Line,Flow,Violation
2020-07-10,16,0,branch_1_10,-4.46874,0.0
2020-07-10,16,0,branch_3_4_0,-23.810309,0.0
2020-07-10,16,0,branch_3_4_1,-23.810309,0.0
2020-07-10,17,0,branch_2_3,-8.459063,0.0
2020-07-10,17,0,branch_1_2,37.509437,0.0
2020-07-10,17,0,branch_1_4,3.031776,0.0
2020-07-10,17,0,branch_4_10,-3.616787,0.0
2020-07-10,17,0,branch_1_10,-2.383213,0.0
2020-07-10,17,0,branch_3_4_0,-27.913782,0.0
2020-07-10,17,0,branch_3_4_1,-27.913782,0.0
2020-07-10,18,0,branch_2_3,-9.486985,0.0
2020-07-10,18,0,branch_1_2,35.176015,0.0
2020-07-10,18,0,branch_1_4,1.370163,0.0
2020-07-10,18,0,branch_4_10,-1.153822,0.0
2020-07-10,18,0,branch_1_10,1.153822,0.0
2020-07-10,18,0,branch_3_4_0,-27.074992,0.0
2020-07-10,18,0,branch_3_4_1,-27.074992,0.0
2020-07-10,19,0,branch_2_3,-11.492048,0.0
2020-07-10,19,0,branch_1_2,33.199452,0.0
2020-07-10,19,0,branch_1_4,1.891069,0.0
2020-07-10,19,0,branch_4_10,-1.592479,0.0
2020-07-10,19,0,branch_1_10,1.592479,0.0
2020-07-10,19,0,branch_3_4_0,-24.091774,0.0
2020-07-10,19,0,branch_3_4_1,-24.091774,0.0
2020-07-10,20,0,branch_2_3,-13.646125,0.0
2020-07-10,20,0,branch_1_2,29.348375,0.0
2020-07-10,20,0,branch_1_4,-2.668347,0.0
2020-07-10,20,0,branch_4_10,2.247029,0.0
2020-07-10,20,0,branch_1_10,-2.247029,0.0
2020-07-10,20,0,branch_3_4_0,-24.320312,0.0
2020-07-10,20,0,branch_3_4_1,-24.320312,0.0
2020-07-10,21,0,branch_2_3,-15.978733,0.0
2020-07-10,21,0,branch_1_2,24.687267,0.0
2020-07-10,21,0,branch_1_4,-6.507373,0.0
2020-07-10,21,0,branch_4_10,5.479893,0.0
2020-07-10,21,0,branch_1_10,-5.479893,0.0
2020-07-10,21,0,branch_3_4_0,-23.054867,0.0
2020-07-10,21,0,branch_3_4_1,-23.054867,0.0
2020-07-10,22,0,branch_2_3,-14.254951,0.0
2020-07-10,22,0,branch_1_2,23.555049,0.0
2020-07-10,22,0,branch_1_4,-5.892741,0.0
2020-07-10,22,0,branch_4_10,4.962308,0.0
2020-07-10,22,0,branch_1_10,-4.962308,0.0
2020-07-10,22,0,branch_3_4_0,-22.032475,0.0
2020-07-10,22,0,branch_3_4_1,-22.032475,0.0
2020-07-10,23,0,branch_2_3,-11.249795,0.0
2020-07-10,23,0,branch_1_2,23.505705,0.0
2020-07-10,23,0,branch_1_4,-5.865954,0.0
2020-07-10,23,0,branch_4_10,4.939751,0.0
2020-07-10,23,0,branch_1_10,-4.939751,0.0
2020-07-10,23,0,branch_3_4_0,-23.002647,0.0
2020-07-10,23,0,branch_3_4_1,-23.002647,0.0
